"Title","Abstract","Keywords","Authors","Journal","DOI","URL"
"A148","Lagrangian ocean analysis: Fundamentals and practices","Lagrangian analysis is a powerful way to analyse the output of ocean circulation models and other ocean velocity data such as from altimetry. In the Lagrangian approach, large sets of virtual particles are integrated within the three-dimensional, time-evolving velocity fields. Over several decades, a variety of tools and methods for this purpose have emerged. Here, we review the state of the art in the field of Lagrangian analysis of ocean velocity data, starting from a fundamental kinematic framework and with a focus on large-scale open ocean applications. Beyond the use of explicit velocity fields, we consider the influence of unresolved physics and dynamics on particle trajectories. We comprehensively list and discuss the tools currently available for tracking virtual particles. We then showcase some of the innovative applications of trajectory data, and conclude with some open questions and an outlook. The overall goal of this review paper is to reconcile some of the different techniques and methods in Lagrangian ocean analysis, while recognising the rich diversity of codes that have and continue to emerge, and the challenges of the coming age of petascale computing.","Ocean circulation,Lagrangian analysis,Connectivity,Particle tracking,Future modelling","Erikvan Sebilleab,Stephen M.Griffiesc,RyanAbernatheyd,Thomas P.Adamse,PavelBerlofff,ArneBiastochg,BrunoBlankeh,Eric P.Chassigneti,YuChengj,Colin J.Cotterf,EricDeleersnijderkl,KristoferDöösn,Henri F.Drakeop,SybrenDrijfhoutq,Stefan F.Garye,Arnold W.Heeminkl,JoakimKjellssonrt,Inga MonikaKoszalkagaa,…,Jan D.Zikaabb","Ocean Modelling","https://doi.org/10.1016/j.ocemod.2017.11.008","https://www.sciencedirect.com/science/article/pii/S1463500317301853"
"A149","Mapping the knowledge domains of Building Information Modeling (BIM): A bibliometric approach","Building Information Modeling (BIM) has been recognized as an emerging technological innovation which can help transform the construction industry and it has been adopted broadly in the field of built environment. Due to the rapid development of BIM research, various stakeholders require a state-of-the-art review of the BIM research and implementation. The purpose of this paper is to provide an objective and accurate summary of BIM knowledge using 1874 published BIM-related papers. The results show that 60 key research areas, such as information systems, 3D modeling, design and sustainability and 10 key research clusters, such as architecture design studio, building information and lean construction, are extremely important for the development of BIM knowledge. The results are useful for the identification of research clusters and topics in the BIM community. More importantly, these results can help highlight how BIM-related research evolves over time, thus greatly contributing to understanding the underlying structure of BIM. This study offers useful and new insights to summarize the status quo of BIM knowledge and can be used as a dynamic platform to integrate future BIM developments.","Building Information Modeling (BIM),Bibliometrics,Literature review,Knowledge map","XiaoLia,PengWub,Geoffrey QipingShena,XiangyuWangc,YueTengd","Automation in Construction","https://doi.org/10.1016/j.autcon.2017.09.011","https://www.sciencedirect.com/science/article/pii/S0926580516302783"
"A150","Textual analysis and visualization of research trends in data mining for electronic health records","ObjectivesMedical data mining is one of the most widely used techniques for discovering latent knowledge from databases, which in turn contributes to clinical decisions. In the past decade, medical data mining has advanced rapidly. The objective of this study is to analyse research trends and explore the general research framework in data mining for electronic health records (EHRs).,MethodsWe first conducted a literature retrieval in PubMed, the Web of Science (WOS) core collection, and the Association for Computing Machinery (ACM) digital library for peer-reviewed records (n = 2516) related to data mining for EHRs from 2000 to 2016. Then, we adopted the Latent Dirichlet Allocation (LDA) and Topics over Time (TOT) models to extract topics and analyse topic evolution trends in the retrieved records. The former mainly analysed topic generation, division, mergers and extinction, while the latter analysed the evolution of topic intensity over time.,ResultsWe extracted the important topics and analysed topic evolution. We present the general research framework of data mining for EHRs by combining the topic co-occurrence relations and domain knowledge, including the data, methods, knowledge, and decision levels.,ConclusionsOur work can provide high-level insight for scholars in this emerging field and guide their choices of medical data mining techniques in healthcare knowledge discovery, medical decision support, and public health management.","Medical data mining,Topic discovery,Topic evolution,Visualization,Research framework","JingfengChena,WeiWeiab,ChonghuiGuoab,LinTangabc,LeileiSuna","Health Policy and Technology","https://doi.org/10.1016/j.hlpt.2017.10.003","https://www.sciencedirect.com/science/article/pii/S2211883717300692"
"A151","Information sciences 1968–2016: A retrospective analysis with text mining and bibliometric","This study provides a comprehensive overview of the publications in Information Sciences (INS) from 1968 to 2016 inclusive, which encompasses the history of this journal from its inception. 7721 articles containing 153,606 references, which are the primary data source were downloaded from the Web of Science. It studies the most prolific authors, most cited authors, most representative articles, top influential institutions and the nationalities of the authors whose papers were published in the journal. The key contributors and INS articles that have made profound impact are highlighted on a basis of bibliometric and customized text mining techniques. CiteSpace, a data visualization software, was used to make the comprehensive analysis of the 153,606 citations and construct the co-citation network maps, which can illustrate salient patterns and emerging trends. This paper not only provides the important reference to future studies by exploring the structures and trends of INS publications, which have evolved over time, but also offers a demonstration of an effective analytical method for evaluating journal citation and co-citation data in the future.","Bibliometric,Text mining,Citation and co-citation,Information sciences,CiteSpace","DejianYuab,ZeshuiXubc,WitoldPedryczd,WanruWanga","Information Sciences","https://doi.org/10.1016/j.ins.2017.08.031","https://www.sciencedirect.com/science/article/pii/S0020025516312257"
"A152","Spatially enabling the Global Framework for Climate Services: Reviewing geospatial solutions to efficiently share and integrate climate data & information","In November 2016, the Paris Agreement entered into force calling Parties to strengthen their cooperation for enhancing adaptation and narrowing the gap between climate science and policy. Moreover, climate change has been identified as a central challenge for sustainable development by the United Nations 2030 Agenda for Sustainable Development.Data provide the basis for a reliable scientific understanding and knowledge as well as the foundation for services that are required to take informed decisions. In consequence, there is an increasing need for translating the massive amount of climate data and information that already exists into customized tools, products and services to monitor the range of climate change impacts and their evolution. It is crucial that these data and information should be made available not in the way that they are collected, but in the way that they are being used by the largest audience possible.Considering that climate data is part of the broader Earth observation and geospatial data domain, the aim of this paper is to review the state-of-the-art geospatial technologies that can support the delivery of efficient and effective climate services, and enhancing the value chain of climate data in support of the objectives of the Global Framework for Climate Services. The major benefit of spatially-enabling climate services is that it brings interoperability along the entire climate data value chain. It facilitates storing, visualizing, accessing, processing/analyzing, and integrating climate data and information and enables users to create value-added products and services.","Climate services,Essential Climate Variables,Interoperability,OGC standards,GFCS, GEO/GEOSS","GregoryGiulianiab,StefanoNativid,AndreObregone,MartinBenistona,AnthonyLehmannac","Climate Services","https://doi.org/10.1016/j.cliser.2017.08.003","https://www.sciencedirect.com/science/article/pii/S2405880716300772"
"A153","Some resonances between Eastern thought and Integral Biomathics in the framework of the WLIMES formalism for modeling living systems","Forty-two years ago, Capra published “The Tao of Physics” (Capra, 1975). In this book (page 17) he writes: “The exploration of the atomic and subatomic world in the twentieth century has …. necessitated a radical revision of many of our basic concepts” and that, unlike ‘classical’ physics, the sub-atomic and quantum “modern physics” shows resonances with Eastern thoughts and “leads us to a view of the world which is very similar to the views held by mystics of all ages and traditions.“ This article stresses an analogous situation in biology with respect to a new theoretical approach for studying living systems, Integral Biomathics (IB), which also exhibits some resonances with Eastern thought. Stepping on earlier research in cybernetics1 and theoretical biology,2 IB has been developed since 2011 by over 100 scientists from a number of disciplines who have been exploring a substantial set of theoretical frameworks. From that effort, the need for a robust core model utilizing advanced mathematics and computation adequate for understanding the behavior of organisms as dynamic wholes was identified. At this end, the authors of this article have proposed WLIMES (Ehresmann and Simeonov, 2012), a formal theory for modeling living systems integrating both the Memory Evolutive Systems (Ehresmann and Vanbremeersch, 2007) and the Wandering Logic Intelligence (Simeonov, 2002b). Its principles will be recalled here with respect to their resonances to Eastern thought.","Integral Biomathics,Artificial/synthetic and natural life,Phenomenology,Eastern philosophy,Higher-order logic,Wandering Logic Intelligence,Memory Evolutive Systems","Plamen L.Simeonovabc,Andrée C.Ehresmannd","Progress in Biophysics and Molecular Biology","https://doi.org/10.1016/j.pbiomolbio.2017.05.014","https://www.sciencedirect.com/science/article/pii/S0079610717301141"
"A154","Too hot to reject: The effect of weather variations on the patent examination process at the United States Patent and Trademark Office","This paper documents a small but systematic bias in the patent evaluation system at the United States Patent and Trademark Office (USPTO): external weather variations affect the allowance or rejection of patent applications. I examine 8.8 million reject/allow decisions from 3.5 million patent applications to the USPTO between 2001 and 2014, and find that on unusually warm days patent allowance rates are higher and final rejection rates are lower than on cold days. I also find that on cloudy days, final rejection rates are lower than on clear days. I show that these effects constitute a decision-making bias which exists even after controlling for sorting effects, controlling for applicant-level, application-level, primary class-level, art unit-level, and examiner- level characteristics. The bias even exists after controlling for the quality of the patent applications. While theoretically interesting, I also note that the effect sizes are relatively modest and may not require policy changes from the USPTO. Yet, the results are strong enough to provide a potentially useful instrumental variable for future innovation research.","Patent allowance,USPTO,Weather variations","BalázsKovács","Research Policy","https://doi.org/10.1016/j.respol.2017.08.010","https://www.sciencedirect.com/science/article/pii/S0048733317301440"
"A155","Patent citation: A technique for measuring the knowledge flow of information and innovation","Knowledge cannot be bound, restricted or categorized. Knowledge is precisely an intangible strength that has a definite economic importance if well utilized and commercialized. Knowledge spillover is an occurrence, which is imaginable but difficult to have an effective measurement of it. Patents citation is a developing concept and has gained momentum in recent past. Patents citation contains valuable data and if analyzed well, may sometimes reveal concealed mysteries of the information flow between countries, laboratories, companies, and universities. Profuse technical research has been conducted on this topic by many scientists. Through these experiments, scientists have tried to show that the innovative information hidden in patents crosses every barrier and is taken by the research labs for its further expansion. Patents citation reveals the diffusion of information and its applicability into many other technical fields which give birth to a new technology. This paper presents a comprehensive survey of patents citation analysis covering and promoting the landmark research done in the field of patents citation, informing readers to consider this important segment of patent document as a field for analysis. Also, this paper presents an innovative methodology for generating patent citation network with the help of techniques of Information Retrievals.","Patents,Citation,Diffusion,Information,Innovation,Analysis","P.Sharmaa,R.C.Tripathib","World Patent Information","https://doi.org/10.1016/j.wpi.2017.11.002","https://www.sciencedirect.com/science/article/pii/S0172219017300170"
"A156","Exploring the role of lean thinking in sustainable business practice: A systematic literature review","The shift towards sustainable manufacturing processes and products has influenced business organizations to improve their environmental performance and efficiency. ‘Lean thinking’ has evolved to ‘lean and green thinking’ as a targeted intervention for organizations to implement sustainable business models that reduce waste and improve material efficiency, and subsequently minimise costs. The lean and green concept however is still relatively new and it remains unclear for many as to how exactly lean thinking can contribute to the sustainability transformation of organizations. The objective of this research was to undertake a systematic literature review of how the implementation of lean and green initiatives could lead to sustainable business practice. This article includes an analysis of both conceptual and empirical research papers discussing various industrial contexts, and evaluation of: a) the impact of lean methods on environmental performance; and b) the variety of integrated lean and green models. The review highlights the ad hoc and limited use of lean thinking within corporate sustainability initiatives and the authors establish a ‘lean and green matrix’ that identifies opportunities to embed lean and green practices in five common work streams including waste, energy, emissions, water and chemical management. In addition to comparing different industries and their systems, this review provides a reference point for further investigation into lean and green practices. The findings contribute to the authors’ research agenda that aims to develop a replicable system for holistically exploring strategies in corporate environmental management and prioritising the most appropriate lean methods. It is proposed that industrial practitioners could benefit from such a system, which could transform their organization’s performance through well-integrated and aligned sustainable business practices.","Lean thinking,Sustainable business practice,Lean and green,Systematic literature review,Sustainable business model,Efficiency","H.T.S.Caldera,C.Desha,L.Dawes","Journal of Cleaner Production","https://doi.org/10.1016/j.jclepro.2017.05.126","https://www.sciencedirect.com/science/article/pii/S0959652617310661"
"A157","The science of science: From the perspective of complex systems","The science of science (SOS) is a rapidly developing field which aims to understand, quantify and predict scientific research and the resulting outcomes. The problem is essentially related to almost all scientific disciplines and thus has attracted attention of scholars from different backgrounds. Progress on SOS will lead to better solutions for many challenging issues, ranging from the selection of candidate faculty members by a university to the development of research fields to which a country should give priority. While different measurements have been designed to evaluate the scientific impact of scholars, journals and academic institutions, the multiplex structure, dynamics and evolution mechanisms of the whole system have been much less studied until recently. In this article, we review the recent advances in SOS, aiming to cover the topics from empirical study, network analysis, mechanistic models, ranking, prediction, and many important related issues. The results summarized in this review significantly deepen our understanding of the underlying mechanisms and statistical rules governing the science system. Finally, we review the forefront of SOS research and point out the specific difficulties as they arise from different contexts, so as to stimulate further efforts in this emerging interdisciplinary field.","Science of science,Scholarly data,Complex networks","AnZenga,ZhesiShenac,JianlinZhoua,JinshanWua,YingFana,YouguiWangab,H. EugeneStanleyb","Physics Reports","https://doi.org/10.1016/j.physrep.2017.10.001","https://www.sciencedirect.com/science/article/pii/S0370157317303289"
"A158","A review of research on embodied energy of buildings using bibliometric analysis","The share of embodied energy within the total life cycle of a building is expected to increase and become more significant as low energy and net-zero energy buildings become the norm. In the last two decades, many researchers have studied the embodied energy of buildings and published their findings. However, a comprehensive, quantitative analysis of the literature on the embodied energy of buildings is missing. In this study, in order to provide a better understanding of the field as a whole, a bibliometric approach is applied to create a knowledge map and discover more information about the topic. The primary knowledge structure and the topics for study were discovered by analyzing the keywords and abstract terms of 398 papers published from 1996 to 2015. The results show that life cycle assessment is the keyword with the greatest frequency of occurrence and design is the keyword that has the highest number of co-occurrence relationships with other keywords in the 398 papers. The major three research areas for the embodied energy of buildings are life cycle assessment (LCA), building design, and greenhouse gas emissions. By using the bibliometric method, this study analyzes previous studies to provide new insights into the embodied energy of buildings.","Embodied energy,Building,Bibliometric analysis,Life cycle assessment,Design","RuochenZeng,AbdolChini","Energy and Buildings","https://doi.org/10.1016/j.enbuild.2017.09.025","https://www.sciencedirect.com/science/article/pii/S0378778817305273"
"A159","Global transition to low-carbon electricity: A bibliometric analysis","Decarbonizing the global electricity system is expected to contribute significantly to mitigating climate change. A significant body of research has focused on the development of low-carbon power systems; hence, this bibliometric review is timely. We assess the global scientific research on low-carbon electricity both quantitatively and qualitatively, based on the Science Citation Index Expanded (SCI-Expanded) and Social Sciences Citation Index (SSCI) spanning a quarter century and 13,767 publications. Our analysis illustrates the role of inter-institutional collaboration in successful scientific research on low-carbon power systems. The United States has contributed most to the low-carbon electricity literature with 3074 publications, the highest h-index (58), 8 of the 10 most cited articles, and 4 of the 10 most productive institutions. The Chinese Academy of Science is the most productive institution with 270 publications and notably high levels of international collaboration. Based on an analysis and visualization of author keywords and content analysis, we also characterize three phases of the global transition to low-carbon electricity. The 1990s involved reliance on traditional base-load fuels (coal and nuclear), which spurred the search for cleaner alternatives. These alternatives materialized as the rise of clean coal and wind in the first decade of the 21st century, followed by the growth of solar and natural gas beginning in 2010. Besides this evolution of technologies, we document the transition to more nuanced forms of economic and policy analysis in recent years.","Electricity system,Climate change,Low-carbon,Renewable energy,Bibliometric analysis,Research trends","LuWangab,Yi-MingWeia,Marilyn A.Brownb","Applied Energy","https://doi.org/10.1016/j.apenergy.2017.07.107","https://www.sciencedirect.com/science/article/pii/S0306261917309790"
"A160","bibliometrix: An R-tool for comprehensive science mapping analysis","The use of bibliometrics is gradually extending to all disciplines. It is particularly suitable for science mapping at a time when the emphasis on empirical contributions is producing voluminous, fragmented, and controversial research streams. Science mapping is complex and unwieldly because it is multi-step and frequently requires numerous and diverse software tools, which are not all necessarily freeware. Although automated workflows that integrate these software tools into an organized data flow are emerging, in this paper we propose a unique open-source tool, designed by the authors, called bibliometrix, for performing comprehensive science mapping analysis. bibliometrix supports a recommended workflow to perform bibliometric analyses. As it is programmed in R, the proposed tool is flexible and can be rapidly upgraded and integrated with other statistical R-packages. It is therefore useful in a constantly changing science such as bibliometrics.","Bibliometrics,Science mapping,Workflow,Co-citation,Bibliographic coupling,R package","MassimoAriaa,CorradoCuccurullob","Journal of Informetrics","https://doi.org/10.1016/j.joi.2017.08.007","https://www.sciencedirect.com/science/article/pii/S1751157717300500"
"A161","Understanding the topic evolution in a scientific domain: An exploratory study for the field of information retrieval","Understanding topic evolution in a scientific domain is essential for capturing key domain developments and facilitating knowledge transfer within and across domains. Using a data set on information retrieval (IR) publications, this paper examines how research topics evolve by analyzing the topic trends, evolving dynamics, and semantic word shifts in the IR domain. Knowledge transfer between topics and the developing status of the major topics have been recognized, which are represented by the merging and splitting of local topics in different time periods. Results show that the evolution of a major topic usually follows a pattern from adjusting status to mature status, and sometimes with re-adjusting status in between the evolving process. Knowledge transfer happens both within a topic and among topics. Word migration via topic channels has been defined, and three migration types (non-migration, dual-migration, and multi-migration) are distinguished to facilitate better understanding of the topic evolution.","Topic evolution,Semantic word shifts,Content analysis","BaitongChenab,SatoshiTsutsuic,YingDingbcd,FeichengMab","Journal of Informetrics","https://doi.org/10.1016/j.joi.2017.10.003","https://www.sciencedirect.com/science/article/pii/S1751157717300536"
"A162","Mapping science using Library of Congress Subject Headings","Maps of scientific knowledge are generally created by analyzing scientific literature including journal articles, conference proceedings, books, and monographs. Although citation analysis is the most popular method for generating maps of science from scientific journal articles and their citations, other relationships between scientific topics can be used to map science. This study offers a map of science generated from examining non-fiction book topics and their relationships as defined by Library of Congress Subject Heading (LCSH) co-assignments. The resulting map reveals which sub-disciplines of science must be learned together, showing that Physics and Mathematics are the central topics required to practice science, which is not revealed by previous studies. This novel LCSH-based science map reveals new relations between the major sub-disciplines of science to produce a more complete representation of scientific domains and how they interact.","Map of science,LCSH,Gephi,Assignment,Citation","FeiShua,Jesse DavidDinneenb,BanafshehAsadia,Charles-AntoineJuliena","Journal of Informetrics","https://doi.org/10.1016/j.joi.2017.08.008","https://www.sciencedirect.com/science/article/pii/S1751157717300950"
"A163","A dynamic forward-citation full path model for technology monitoring: An empirical study from shale gas industry","The utilization of shale gas has become one of the important options to transit into low-carbon economy in the world and its vigorous development relies on successful technology revolution to a great extent. Based on patent data, this paper analyzes the development trends and the status quo of technical innovation of shale gas quantitatively by means of patent maps. A new dynamic model named Forward-Citation Full Path (FCFP) is investigated to identify the key development paths in technology clusters and monitor potential breakthrough technologies on those key paths. Then we employ topic modeling and text mining for patent abstracts to explore the potential promising topics with high innovation activeness in aid of providing specific references for development and foresight of the shale gas technology. The results show that: (1) The patent center of shale gas has been transferring from North American to the Asia-Pacific region and the technological innovation is mainly driven by preferential tax policy and loose environmental regimes. (2) Current hotspots of shale gas technology are production technique including stimulation treatments, environmental protection technology of fracturing fluid and geological prospecting technology. (3) There are five potential topics with high innovation activeness identified by topic modeling and text mining which are synthetic carbon oxide, hydraulic fracturing, fracturing propping agents, horizontal well, and technologies of reservoir exploration and modeling. (4) By means of visualization of technology clusters, it is found that promising technologies are refined simulation technology for shale gas exploration, multi-interval fracturing techniques in horizontal wells with deep pay zones, water treatment and environmental protection technology in shale gas production. (5) The suggested dynamic FCFP model can effectively identify the key development paths and monitor potential breakthrough technology of shale gas.","Technology foresight,Patent map,Technology monitoring,Path identification,Shale gas,JEL classification,L71,O31,O32,O33,O34,Q55","Yi-MingWei,Jia-NingKang,Bi-YingYu,HuaLiao,Yun-FeiDu","Applied Energy","https://doi.org/10.1016/j.apenergy.2017.08.121","https://www.sciencedirect.com/science/article/pii/S0306261917311443"
"A164","Open source software ecosystems: A Systematic mapping","Context: Open source software (OSS) and software ecosystems (SECOs) are two consolidated research areas in software engineering. OSS influences the way organizations develop, acquire, use and commercialize software. SECOs have emerged as a paradigm to understand dynamics and heterogeneity in collaborative software development. For this reason, SECOs appear as a valid instrument to analyze OSS systems. However, there are few studies that blend both topics together.Objective: The purpose of this study is to evaluate the current state of the art in OSS ecosystems (OSSECOs) research, specifically: (a) what the most relevant definitions related to OSSECOs are; (b) what the particularities of this type of SECO are; and (c) how the knowledge about OSSECO is represented.Method: We conducted a systematic mapping following recommended practices. We applied automatic and manual searches on different sources and used a rigorous method to elicit the keywords from the research questions and selection criteria to retrieve the final papers. As a result, 82 papers were selected and evaluated. Threats to validity were identified and mitigated whenever possible.Results: The analysis allowed us to answer the research questions. Most notably, we did the following: (a) identified 64 terms related to the OSSECO and arranged them into a taxonomy; (b) built a genealogical tree to understand the genesis of the OSSECO term from related definitions; (c) analyzed the available definitions of SECO in the context of OSS; and (d) classified the existing modelling and analysis techniques of OSSECOs.Conclusion: As a summary of the systematic mapping, we conclude that existing research on several topics related to OSSECOs is still scarce (e.g., modelling and analysis techniques, quality models, standard definitions, etc.). This situation calls for further investigation efforts on how organizations and OSS communities actually understand OSSECOs.","Software ecosystem,Open source software,Systematic mapping,Literature review,OSS,SECO,OSSECO","OscarFranco-Bedoyaab,DavidAmellera,DolorsCostala,XavierFrancha","Information and Software Technology","https://doi.org/10.1016/j.infsof.2017.07.007","https://www.sciencedirect.com/science/article/pii/S0950584917304512"
"A165","Fuzzy formal concept analysis based opinion mining for CRM in financial services","Owing to the easy access to social media, consumers or customers are increasingly turning to social media to express their grievances and feedback on various products and services offered by the Banking, Financial, Services and Insurance industry. Because non-redressal of complaints eventually leads to customer churn, there is an urgent need to analyze the complaints. In this regard, we propose a novel descriptive analytics model that performs complaints/grievances analytics and summarizes the lengthy and verbose complaints concisely in a form that resembles association rules. The proposed hybrid model comprises fuzzy formal concept analysis and concept-level sentiment analysis (FFCA + SA) in tandem, which in turn is compared against formal concept analysis and concept-level sentiment analysis (FCA + SA). Because of the immediate fallout of the negative sentiments, a financial company is interested in studying them in more detail than the positive ones. Therefore, the model generates a list of ‘association rules’, the corresponding negative sentiment score along with the list of associated documents. Association rules are rank ordered according to the negative sentiment score, which in turn reflects severity affected services/products. The proposed model also provides interactive visualization that enables business analysts and managers to access a specific set of complaints without having to go through the entire set thoroughly. This saves a lot of time that would have otherwise been spent on cumbersome manual operations. Moreover, partial evaluation of the proposed methodology by human annotators yielded 64.06% matching score in terms of the opinions determination of aspects.","Sentiment analysis,Fuzzy formal concept analysis,Customer complaints,Text mining,Association rules,Descriptive analytics","KumarRaviab,VadlamaniRavia,P. Sree Rama KrishnaPrasadc","Applied Soft Computing","https://doi.org/10.1016/j.asoc.2017.05.028","https://www.sciencedirect.com/science/article/pii/S1568494617302910"
"A166","Abstracts","","","","The Journal of Molecular Diagnostics","https://doi.org/10.1016/S1525-1578(17)30482-8","https://www.sciencedirect.com/science/article/pii/S1525157817304828"
"A167","Improving fitness: Mapping research priorities against societal needs on obesity","Science policy is increasingly shifting towards an emphasis in societal problems or grand challenges. As a result, new evaluative tools are needed to help assess not only the knowledge production side of research programmes or organisations, but also the articulation of research agendas with societal needs. In this paper, we present an exploratory investigation of science supply and societal needs on the grand challenge of obesity – an emerging health problem with enormous social costs. We illustrate a potential approach that uses topic modelling to explore: (a) how scientific publications can be used to describe existing priorities in science production; (b) how policy records (in this case here questions posed in the European parliament) can be used as an instance of mapping discourse of social needs; (c) how the comparison between the two may show (mis)alignments between societal concerns and scientific outputs. While this is a technical exercise, we propose that this type of mapping methods can be useful to domain experts for informing strategic planning and evaluation in funding agencies.","Research agenda,Science mapping,Societal needs,Obesity,Topic modeling","LorenzoCassiab,AgénorLahatteb,IsmaelRafolscde,PierreSautierbc,Élisabethde Turckheimbf","Journal of Informetrics","https://doi.org/10.1016/j.joi.2017.09.010","https://www.sciencedirect.com/science/article/pii/S1751157717301542"
"A168","Popular Research Topics in Marketing Journals, 1995–2014","During the past two decades, the focus of marketing has moved from the tactics of persuasion to the strategies of value cocreation. After moving toward cognitive science and corporate strategies in the early 2000s, marketing research returned to its traditional domains of consumer psychologies and customer management. While conscientious consumers are gradually restraining themselves from selfish indulgence, marketers have refocused on a new set of values that encompass mental, experiential, and societal well-being. In this regard, we adopt an unprecedented approach by incorporating topic modeling with social network analysis. The results show that, in terms of topic heterogeneity, the most impactful journals are the most diverse, whereas each runner-up has a unique focus. Among the journals, we detect two major co-authorship communities, and among the topics, we detect three. Further, we find that the communities of the most cited papers are composed of heterogeneous clusters of similar topics. The pivots within, and the bridges between, these communities are also reported. In the spirit of collaborative research, our topic model and network analysis are shared via online collaboration and visualization platforms that readers can use to explore our models interactively and to download the dataset for further studies.","Topic model,Text mining,Data visualization,Reproducible and collaborative research","Yung-JanChoa,Pei-WenFub,Chi-ChengWub","Journal of Interactive Marketing","https://doi.org/10.1016/j.intmar.2017.06.003","https://www.sciencedirect.com/science/article/pii/S1094996817300373"
"A169","Freehand 3-D Ultrasound Imaging: A Systematic Review","Two-dimensional ultrasound (US) imaging has been successfully used in clinical applications as a low-cost, portable and non-invasive image modality for more than three decades. Recent advances in computer science and technology illustrate the promise of the 3-D US modality as a medical imaging technique that is comparable to other prevalent modalities and that overcomes certain drawbacks of 2-D US. This systematic review covers freehand 3-D US imaging between 1970 and 2017, highlighting the current trends in research fields, the research methods, the main limitations, the leading researchers, standard assessment criteria and clinical applications. Freehand 3-D US systems are more prevalent in the academic environment, whereas in clinical applications and industrial research, most studies have focused on 3-D US transducers and improvement of hardware performance. This topic is still an interesting active area for researchers, and there remain many unsolved problems to be addressed.","Three-dimensional ultrasound imaging,Three-dimensional ultrasound freehand systems,Three-dimensional ultrasound calibration,Three-dimensional ultrasound reconstruction,Three-dimensional ultrasound sensorless methods,Systematic review","Mohammad HamedMozaffari,Won-SookLee","Ultrasound in Medicine & Biology","https://doi.org/10.1016/j.ultrasmedbio.2017.06.009","https://www.sciencedirect.com/science/article/pii/S0301562917302776"
"A170","Co-citation and cluster analyses of extant literature on social networks","Over one billion people are currently using social media such as social websites (Facebook Newsroom, 2015); consequently, numerous academic scholars have developed interest in studying the use of social media and social networks. However, few studies have focused on examining the core factors of social networks. In this study, we collected studies on social-network-related topics that were published between January 1996 and December 2014, assembling a total of 2565 articles and 81,316 citations. Co-citation analysis and cluster analysis were applied to verify seven main factors regarding social networks: (a) the measure of complex social networks; (b) community structure; (c) strong and weak ties; (d) the evolution of social networks; (e) network structure and relationship; (f) value concept and measurement strategies; and (g) social capital. Finally, the results of this study were further discussed to elucidate the core topics relevant to social networks.","Social network,Document co-citation,Multidimensional scaling analysis,Cluster analysis","Wen-LungShiauac,Yogesh K.Dwivedib,Han SuanYangc","International Journal of Information Management","https://doi.org/10.1016/j.ijinfomgt.2017.04.007","https://www.sciencedirect.com/science/article/pii/S0268401216300962"
"A171","Detecting and predicting the topic change of Knowledge-based Systems: A topic-based bibliometric analysis from 1991 to 2016","The journal Knowledge-based Systems (KnoSys) has been published for over 25 years, during which time its main foci have been extended to a broad range of studies in computer science and artificial intelligence. Answering the questions: “What is the KnoSys community interested in?” and “How does such interest change over time?” are important to both the editorial board and audience of KnoSys. This paper conducts a topic-based bibliometric study to detect and predict the topic changes of KnoSys from 1991 to 2016. A Latent Dirichlet Allocation model is used to profile the hotspots of KnoSys and predict possible future trends from a probabilistic perspective. A model of scientific evolutionary pathways applies a learning-based process to detect the topic changes of KnoSys in sequential time slices. Six main research areas of KnoSys are identified, i.e., expert systems, machine learning, data mining, decision making, optimization, and fuzzy, and the results also indicate that the interest of KnoSys communities in the area of computational intelligence is raised, and the ability to construct practical systems through knowledge use and accurate prediction models is highly emphasized. Such empirical insights can be used as a guide for KnoSys submissions.","Topic analysis,Topic detection and tracking,Bibliometrics,Text mining,Knowledge-based Systems","ZhangYi,ChenHongshu,LuJie,ZhangGuangquan","Knowledge-Based Systems","https://doi.org/10.1016/j.knosys.2017.07.011","https://www.sciencedirect.com/science/article/pii/S0950705117303271"
